file,route,category,bytes,noindex,indexable,robots,title,title_chars,description_chars,canonical,canonical_target_route,self_canonical,canonical_target_exists,canonical_target_noindex,h1_count,h1,main_words,paragraphs,h2_count,internal_links_raw,external_links,main_internal_links_raw,main_external_links,inlinks_all,inlinks_from_indexable,main_inlinks_all,main_inlinks_from_indexable,images,images_missing_alt,images_missing_dimensions,youtube_images,iframes,schema_types,schema_errors,article_schema,video_schema,faq_schema,job_schema,authors,date_published,date_modified,hidden_attr_nodes,hidden_attr_words,css_permanent_hidden_nodes,css_permanent_hidden_words,css_tab_hidden_words,title_page_nav_css_hidden,in_sitemap,in_news_sitemap
movie/raiders/index.html,/movie/raiders/,movie,20259,False,True,,Raiders of the Lost Ark (1981) | Cast & Trailer | BRYME,55,139,https://bryme.onrender.com/movie/raiders/,/movie/raiders/,True,True,False,1,Raiders of the Lost Ark,478,13,5,61,10,20,10,16,14,16,14,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,65,2,17,24,True,True,False
movie/rambo/index.html,/movie/rambo/,movie,20000,False,True,,"First Blood (1982) | Cast, Trailer & Where to Watch | BRYME",59,150,https://bryme.onrender.com/movie/rambo/,/movie/rambo/,True,True,False,1,First Blood,450,15,5,61,10,20,10,5,4,5,4,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,71,2,17,16,True,True,False
movie/ramyaa/index.html,/movie/ramyaa/,movie,9211,True,False,"noindex,follow","Ramyaa (2026) – Overview, Trailer & BRYME",41,61,https://bryme.onrender.com/movie/ramyaa/,/movie/ramyaa/,True,True,True,1,Ramyaa,41,2,0,42,1,1,1,1,1,1,1,1,0,1,1,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""VideoObject""]",0,0,1,0,0,[],[],[],2,12,1,3,4,True,False,False
movie/rashomon/index.html,/movie/rashomon/,movie,19780,False,True,,"Rashomon (1950) | Cast, Trailer & Where to Watch | BRYME",56,132,https://bryme.onrender.com/movie/rashomon/,/movie/rashomon/,True,True,False,1,Rashomon,420,13,5,61,10,20,10,16,14,16,14,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,53,2,14,22,True,True,False
movie/ratatouille/index.html,/movie/ratatouille/,movie,19977,False,True,,"Ratatouille (2007) | Cast, Trailer & Where to Watch | BRYME",59,148,https://bryme.onrender.com/movie/ratatouille/,/movie/ratatouille/,True,True,False,1,Ratatouille,441,12,5,61,10,20,10,16,15,16,15,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,53,2,14,26,True,True,False
movie/rattle-snake-the-ahanna-story/index.html,/movie/rattle-snake-the-ahanna-story/,movie,19304,False,True,,RattleSnake: The Ahanna Story (2020) | BRYME,44,148,https://bryme.onrender.com/movie/rattle-snake-the-ahanna-story/,/movie/rattle-snake-the-ahanna-story/,True,True,False,1,RattleSnake: The Ahanna Story,390,9,5,61,8,20,8,7,6,7,6,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""VideoObject""]",0,0,1,0,0,[],[],[],3,58,2,14,21,True,True,False
movie/raya-and-the-last-dragon/index.html,/movie/raya-and-the-last-dragon/,movie,20747,False,True,,Raya and the Last Dragon (2021) | Cast & Trailer | BRYME,56,143,https://bryme.onrender.com/movie/raya-and-the-last-dragon/,/movie/raya-and-the-last-dragon/,True,True,False,1,Raya and the Last Dragon,503,18,6,61,10,20,10,35,32,35,32,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,62,2,17,28,True,True,False
movie/re-zero/index.html,/movie/re-zero/,movie,1053,True,False,"noindex,follow",Re:Zero – Starting Life in Another World has moved | BRYME,58,89,https://bryme.onrender.com/anime/re-zero/,/anime/re-zero/,False,True,False,1,Re:Zero – Starting Life in Another World has moved,27,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],[],[],0,0,0,0,0,False,False,False
movie/ready-player-one/index.html,/movie/ready-player-one/,movie,20563,False,True,,"Ready Player One (2018) | Cast, Trailer & Where to Watch | BRYME",64,144,https://bryme.onrender.com/movie/ready-player-one/,/movie/ready-player-one/,True,True,False,1,Ready Player One,486,14,6,61,10,20,10,21,20,21,20,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,64,2,15,25,True,True,False
movie/red-cliff/index.html,/movie/red-cliff/,movie,19497,False,True,,"Red Cliff (2008) | Cast, Trailer & Where to Watch | BRYME",57,132,https://bryme.onrender.com/movie/red-cliff/,/movie/red-cliff/,True,True,False,1,Red Cliff,428,12,5,61,10,20,10,18,17,18,17,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,55,2,17,23,True,True,False
